date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:09:16	129282/129282	---MCZ	200	added ('OK')	text/html	etag:W/%2272fb5bdfc474d730c77192743f3f597c%22	https://sonaandcophoto.com/	C:/My%20Web%20Sites/CayleeHain/sonaandcophoto.com/index.html	(from )
23:09:16	594/594	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%2266cf5499-4f3%22	https://sonaandcophoto.com/robots.txt		(from )
23:09:16	4644/4644	---M--	200	added ('OK')	image/png	etag:b474086138430fc8179b781aa696da51	http://static.showit.co/200/mPf8tl-JTRqr-055BimI6A/201471/favicon_sona.png	C:/My%20Web%20Sites/CayleeHain/static.showit.co/200/mPf8tl-JTRqr-055BimI6A/201471/favicon_sona.png	(from https://sonaandcophoto.com/)
23:09:16	244198/244198	---M--	200	added ('OK')	image/jpeg	etag:d1ee532dc628325bacdc79bfa7fd312c	https://static.showit.co/1200/f4_6U_n7NzR_JaYqwODsqw/201471/dsc7121.jpg	C:/My%20Web%20Sites/CayleeHain/static.showit.co/1200/f4_6U_n7NzR_JaYqwODsqw/201471/dsc7121.jpg	(from https://sonaandcophoto.com/)
23:09:17	55522/55522	---M-Z	200	added ('OK')	text/css	etag:%225eb03d2a-d8e2%22	https://cdnjs.cloudflare.com/ajax/libs/animate.css/3.4.0/animate.min.css	C:/My%20Web%20Sites/CayleeHain/cdnjs.cloudflare.com/ajax/libs/animate.css/3.4.0/animate.min.css	(from https://sonaandcophoto.com/)
23:09:17	89476/89476	---M--	200	added ('OK')	text/javascript	date:Fri,%2008%20May%202020%2007:05:03%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/3.5.1/jquery.min.js	C:/My%20Web%20Sites/CayleeHain/ajax.googleapis.com/ajax/libs/jquery/3.5.1/jquery.min.js	(from https://sonaandcophoto.com/)
23:09:18	7679/7679	---MCZ	200	added ('OK')	text/css	etag:W/%22e1988d1086179a23eab62ea03f09ca59%22	http://lib.showit.co/engine/2.4.3/showit.css	C:/My%20Web%20Sites/CayleeHain/lib.showit.co/engine/2.4.3/showit.css	(from https://sonaandcophoto.com/)
23:09:20	49172/49172	---MCZ	200	added ('OK')	application/javascript	etag:W/%22c3397e40d61527d50fffacc9c523cbf2%22	http://lib.showit.co/engine/2.4.3/showit-lib.min.js	C:/My%20Web%20Sites/CayleeHain/lib.showit.co/engine/2.4.3/showit-lib.min.js	(from https://sonaandcophoto.com/)
23:09:22	78386/78386	---MCZ	200	added ('OK')	application/javascript	etag:W/%225309006d142087f3f12839d6db89452d%22	http://lib.showit.co/engine/2.4.3/showit.min.js	C:/My%20Web%20Sites/CayleeHain/lib.showit.co/engine/2.4.3/showit.min.js	(from https://sonaandcophoto.com/)
23:09:22	89994/89994	---MCZ	200	added ('OK')	text/html	etag:W/%22ebb4194f8c29ceebc04b992265a0f375%22	https://sonaandcophoto.com/inquire	C:/My%20Web%20Sites/CayleeHain/sonaandcophoto.com/inquire.html	(from https://sonaandcophoto.com/)
